1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NA,NA,NA,NA,NA,NA,NA,Arkansas,West Virginia,San Francisco,Miami (FL),Tulsa,Washington & Lee,Utah,Wisconsin,Georgia,Illinois,Bradley,Purdue,Temple,Cornell,Ohio St.,Auburn,Missouri Valley,Houston,Colorado,Purdue,Northern Arizona,Wyoming,New Mexico,Northwestern,Idaho,Notre Dame,Villanova,Purdue,Alcorn St.,Montana,Texas A&M,Washington St.,Stanford,Oklahoma,Alabama,California,NE State (OK),California-Davis,North Carolina St.,Illinois,Azusa Pacific,Arizona,Vanderbilt,Wake Forest,Illinois,Tennessee,Michigan St.,Virginia Tech,Michigan,Miss. Valley St.,USC,Ohio St.,Tennessee,North Alabama,Auburn,TCU,Ark-Pine Bluff,Louisiana Tech,Boise St.,Cincinnati,Notre Dame,Memphis,California,Texas St.,Cal Poly-San Luis Obispo,Arizona,Tennessee St.,Middle Tenn. St.,Auburn,Utah St.,Utah,Arizona,Miami (FL),Central Michigan,South Florida,Wagner,South Carolina,Washington St.,Pittsburgh,Georgia,Kansas St.,Arkansas
NA,NA,NA,NA,NA,NA,NA,Georgia,Baylor,Oregon,Duke,Illinois,Southern Miss,Wake Forest,Morningside,Iowa St.,Iowa St.,San Jose St.,Georgia,Oregon,North Carolina Central,George Washington,Georgia,Colorado Col.,Pennsylvania,Louisville,Connecticut,Notre Dame,Pittsburgh,Southern,Texas,Miss. Valley St.,North Texas,Tulsa,Houston,Auburn,South Dakota,Kentucky,Boise St.,Kent St.,Ohio St.,Wake Forest,Clemson,C.W. Post,Drake,Oklahoma,Rice,Georgia,Clemson,Colorado,BYU,Fresno St.,Central Missouri St.,Mississippi St.,Southern,Texas,San Diego St.,Penn St.,Nebraska,BYU,Tennessee,USC,Houston,Alcorn St.,Houston,Notre Dame,North Dakota St.,Eastern Kentucky,Miami (FL),Oregon St.,Syracuse,LSU,USC,Arizona St.,North Carolina St.,Boise St.,SMU,Penn St.,Clemson,Ala-Birmingham,Michigan St.,Louisville,Appalachian St.,Texas A&M,Michigan,Wisconsin,Georgia,West Virginia,Texas
NA,NA,NA,NA,NA,NA,NA,North Carolina St.,Stanford,Wisconsin,Stanford,Iowa,USC,USC,California,Arizona,Michigan St.,Western Maryland,Cal Poly-San Luis Obispo,SMU,Auburn,UCLA,Middlebury,Notre Dame,South Carolina St.,Virginia Tech,Rice,Baylor,Southern Miss,Kansas St.,North Dakota St.,Prairie View A&M,Tulsa,Albany State (GA),Texas-El Paso,Springfield,Boston Univ.,Illinois,Georgia,Houston,Utah St.,Syracuse,Cal Poly-San Luis Obispo,USC,LSU,Penn St.,Idaho St.,Miami (FL),Texas,Wake Forest,Santa Clara,Montana,Minnesota-Duluth,Southeast Missouri St.,Wyoming,Penn St.,Michigan St.,Ball St.,Montana St.,Kansas,East. New Mexico,Stanford,Georgia,Virginia,Notre Dame,Ohio St.,BYU,Missouri,Georgia Tech,Iowa,Michigan St.,Fresno St.,Ohio St.,Weber St.,Penn St.,Arkansas St.,Vanderbilt,North Carolina,SMU,Buffalo,Houston,Washington,Stanford,Utah St.,Florida,Wisconsin,Wake Forest,Michigan St.,Mississippi
NA,NA,NA,NA,NA,NA,NA,Oregon,Northwestern,Pennsylvania,Santa Clara,Texas,Unknown,Wake Forest,Shippensburg,UCLA,Rice,Mississippi,Kansas,TCU,Prairie View A&M,BYU,Oklahoma,Miami (OH),Chattanooga,Indiana,Missouri,Memphis,Florida A&M,Oregon St.,Gettysburg,Bishop,Florida A&M,Alcorn St.,Stephen F. Austin,Tuskegee,Dayton,Arkansas,Cincinnati,Arkansas,Virginia,Kansas,USC,Texas,Northern Illinois,Arkansas,Texas Tech,Boise St.,Illinois,La-Monroe,Southern Miss,Colorado,South Carolina St.,BYU,Virginia Tech,Florida,Mississippi St.,Grambling St.,Saginaw Valley St.,Maryland,Oregon,North Carolina A&T,Minnesota,North Carolina,California,Appalachian St.,Auburn,North Carolina St.,Miami (FL),Cincinnati,Samford,Delaware,Virginia Tech,BYU,Michigan St.,Arizona,Texas,Wake Forest,Tennessee,Fresno St.,TCU,Miami (FL),Alabama,Missouri,Purdue,Oregon,Virginia Tech,Mississippi,USC
NA,NA,NA,NA,NA,NA,NA,Oklahoma St.,Brown,SMU,LSU,Alabama,Texas Tech,West Texas A&M,Georgia,Illinois,Santa Clara,Pacific,South Carolina,Tennessee,Widener,Maryland,Idaho,Tulsa,Utah,Auburn,Baylor,Holy Cross,BYU,Toledo,Alabama,UCLA,Tennessee St.,Oregon St.,UCLA,LSU,Houston,North Dakota,USC,Iowa St.,Arkansas,USC,UT Martin,Houston,Michigan St.,UNLV,Auburn,McNeese St.,Long Beach St.,Bethune-Cookman,Cal State-Fullerton,Texas-El Paso,Oregon,Oklahoma,Arkansas,Notre Dame,NE State (OK),Pittsburgh,Florida St.,Rutgers,West Virginia,Arizona,Nebraska,Virginia,Maryland,BYU,Cal Poly-San Luis Obispo,Wisconsin,NW Oklahoma St.,Michigan St.,New Mexico,Michigan,Ohio,South Carolina,Iowa,Baylor,California,Grand Valley St.,Vanderbilt,Rice,Eastern Michigan,Florida St.,Washington,Illinois,Arkansas,Miami (FL),Cincinnati,TCU,Southeast Missouri St.
NA,NA,NA,NA,NA,NA,NA,Oregon St.,Holy Cross,Brown,Miami (OH),Texas,Yale,Arkansas,Wake Forest,Oregon,Missouri State,Wabash,Idaho,Oklahoma,Case Western Reserve,Florida,Kansas,Chattanooga,Heidelberg,Wisconsin,Unknown,Toledo,Unknown,Tennessee St.,Oregon St.,Michigan St.,Georgia Tech,Grambling St.,Memphis,Purdue,Clemson,TCU,Penn St.,South Carolina,Cal State-Chico,Miami (FL),Amherst,Texas A&M,Oklahoma St.,Troy,Purdue,Western Kentucky,Southeastern Louisiana,Indiana St.,South Dakota St.,Fresno St.,Howard,West Virginia,Oregon,Texas A&M,Troy,Michigan,Penn St.,Grambling St.,Southern,Michigan,UCLA,Oregon St.,California,Michigan St.,Widener,Louisville,Washington,Virginia Tech,USC,Coastal Carolina,San Diego St.,Western Michigan,Florida St.,Florida,Iowa,East Central (OK),Indiana,Southern Miss,Baylor,Chattanooga,Washington,Texas,Tennessee,Virginia Tech,Jackson St.,Michigan,Arkansas
NA,NA,NA,NA,NA,NA,NA,Hardin-Simmons,Notre Dame,Nebraska,Detroit Mercy,Otterbein,Southern Oregon,UCLA,Dayton,Miami (FL),Wisconsin,William & Mary,William & Mary,Unknown,VMI,Vermont,Virginia,SMU,Findlay,Florida A&M,South Dakota St.,Arkansas,Michigan St.,Tulsa,Idaho,Bowling Green,Missouri S&T,Wisconsin,Ohio St.,Minnesota,Georgia Tech,Ohio St.,Colorado,Tennessee St.,Nebraska,Weber St.,Nebraska,Temple,Temple,Florida St.,Fairmont St.,Michigan,Washington,Pittsburgh,Texas,William & Mary,Wisconsin,Eastern Kentucky,Cal State-Northridge,Michigan,Alabama,New Hampshire,Boston College,Air Force,Penn St.,North Carolina A&T,Purdue,USC,Utah,Texas A&M,Virginia Tech,USC,Wyoming,Florida,BYU,Kansas St.,Army,Colorado,West Texas A&M,North Carolina,San Diego St.,Oregon St.,Wake Forest,Tennessee St.,USC,USC,Tulane,Ohio St.,Minnesota,Texas,Minnesota,Kennesaw St.,Kentucky
NA,NA,NA,NA,NA,NA,NA,Boston College,Washington & Lee,Fordham,Mississippi St.,Iowa,Catawba,Kansas,Tulane,Oklahoma St.,Wake Forest,California,Springfield,Abilene Christian,Arizona,Arizona St.,Bradley,Boston College,Boston Univ.,Northern Michigan,Alabama,Georgia,North Carolina,Unknown,Memphis,Holy Cross,North Texas,West Texas A&M,Alcorn St.,Arizona St.,Iowa,Michigan St.,Holy Cross,Michigan,Washington,Penn St.,Washington St.,Illinois,North Alabama,Auburn,Henderson St.,Iowa,La-Monroe,Mississippi,Eastern Kentucky,Northern Illinois,Montana,Cal State-Fullerton,USC,Alabama A&M,Mississippi,Michigan,Grambling St.,Utah,Kansas,Knoxville,Mississippi,Nebraska,Georgia,Hawaii,North Carolina,Colorado,West Virginia,Texas-El Paso,Syracuse,Syracuse,Northwestern St. (LA),LSU,UCLA,TCU,California,Rutgers,Ohio,USC,Arizona,Miami (FL),LSU,Maryland,Iowa,Auburn,Mississippi,North Carolina,Penn St.
NA,NA,NA,NA,NA,NA,NA,Colgate,Illinois St.,Wake Forest,Oklahoma,Georgia,Pennsylvania,Purdue,Rensselaer Polytechnic Institute,Southern Miss,Miami (OH),George Washington,South Carolina,Holy Cross,Florida St.,Auburn,Purdue,Auburn,Purdue,San Francisco St.,McNeese St.,Missouri,Ripon,Massachusetts,Oregon St.,Houston,Long Beach St.,Wyoming,Montana,Tennessee,Arkansas,Texas Tech,Texas-El Paso,Yale,Colorado St.,Georgia,Washington St.,Michigan St.,Eastern Illinois,Houston,Texas Tech,Michigan,Minnesota,South Carolina St.,Stanford,Texas A&M,Texas A&M,Temple,Fresno St.,Miami (FL),Texas A&M,Hawaii,Alabama,Oregon,Tulsa,Valdosta St.,Texas,Richmond,San Diego St.,Idaho,Georgia,Cincinnati,Maryland,South Carolina,Nebraska,Tennessee,Arizona St.,West Virginia,Mississippi St.,Georgia,TCU,Vanderbilt,Connecticut,Monmouth,Washington,Northwestern,Florida International,Texas A&M,Ohio St.,Boston College,Central Florida,Old Dominion,Texas-El Paso
NA,NA,NA,NA,NA,NA,NA,Washington St.,Alabama,UCLA,Northwestern,Unknown,Notre Dame,Colorado Mines,Missouri Valley,Arkansas,Washington & Lee,Wake Forest,Miami (OH),Grambling St.,Marquette,Miami (FL),West Virginia,Prairie View A&M,Purdue,Virginia Tech,Memphis,Miami (OH),Toledo,MD-Eastern Shore,Florida,Washington,North Texas,Grambling St.,Boston Univ.,Tennessee Tech,St. Norbert,New Mexico,California-Riverside,Mankato St.,Indiana,Arizona St.,Alabama A&M,Missouri,Connecticut,Wake Forest,North Carolina St.,Illinois,McNeese St.,Arkansas St.,Kentucky,Oklahoma,Wake Forest,Washington St.,Albany State (GA),Oregon,Georgia Tech,Sacramento St.,Illinois,Western Michigan,Kentucky,Nebraska,Southeast Missouri St.,Middle Tenn. St.,Washington,USC,Fresno St.,Oregon,Michigan,Mississippi,Northwestern,Mississippi,North Carolina,Idaho,East Carolina,Maryland,Boise St.,Southern Utah,Florida Atlantic,Florida,Illinois,Washington St.,Houston,Tulane,Florida International,North Carolina,Penn St.,Texas A&M,International
NA,NA,NA,NA,NA,NA,NA,Morehead St.,Texas-El Paso,Colorado,Duke,Brown,Georgia,Mississippi St.,Mississippi St.,Unknown,Stanford,Louisville,Louisiana Tech,Texas Southern,Texas,Iowa,Georgia Tech,Hastings,Louisville,Bowling Green,Oregon St.,Memphis,Southern,Wisconsin,San Jose St.,Cornell,New Mexico,Arizona,Texas Southern,North Texas,Lamar,Indiana,Rutgers,UCLA,BYU,USC,UCLA,Cameron,Hawaii,Washington,Cincinnati,Stanford,Bethune-Cookman,Florida St.,Oregon St.,Penn St.,UCLA,Kentucky,Northern Arizona,Anderson (IN),California,Indiana,Kentucky,Missouri,Arizona,Fresno St.,Miami (OH),Utah,Hampton,Princeton,Middle Tenn. St.,Nebraska,Alabama,The Citadel,Virginia Tech,Boise St.,Georgia,West Virginia,Montana,Florida International,Montana,Arkansas,Central Florida,South Florida,UCLA,Minnesota,San Jose St.,Florida Atlantic,Arizona St.,Alabama,Arkansas,Ala-Birmingham,Notre Dame
NA,NA,NA,NA,NA,NA,NA,Colorado St.,Presbyterian,Cornell,Florida,Oklahoma St.,Wake Forest,Texas Tech,Western Michigan,Missouri,UCLA,Iowa St.,Utah,Miles,Lafayette,Unknown,Kansas St.,Wisconsin,Georgia,Maryland,Arkansas,Villanova,Utah,Michigan,Adams St.,Heidelberg,Tulsa,Texas A&M-Kingsville,Temple,Montana St.,Richmond,Southern Illinois,Missouri,Penn St.,West Texas A&M,LSU,Pittsburgh,Oklahoma St.,Hawaii,Notre Dame,Gardner-Webb,Louisville,Missouri,TCU,North Carolina,Washington,Texas A&M,Washington,Miami (FL),Wesern Illinois,Penn St.,West Chester,NA,Texas Southern,Duke,Texas,California,Kansas St.,Ohio St.,Yale,Iowa St.,Oklahoma,Purdue,Oregon,Georgia,Purdue,Washington St.,Arizona St.,Utah,Yale,Oklahoma,Samford,Georgia Tech,Northwestern St. (LA),Western Kentucky,USC,Temple,South Dakota St.,Memphis,Central Florida,Oklahoma,Wingate,Air Force
NA,NA,NA,NA,NA,NA,NA,Louisiana,Fresno St.,Texas-El Paso,Santa Clara,Connecticut,Oregon,Rice,Mississippi St.,West Virginia,Drake,Baylor,Wisconsin,Colby,Texas Tech,Austin,Oklahoma,Southern Illinois,Toledo,Auburn,LSU,Texas Tech,Eastern Illinois,Florida St.,Wyoming,Prairie View A&M,Illinois,Grambling St.,Stanford,Minnesota,Drake,Notre Dame,Ohio St.,Memphis,North Carolina,Boston College,Miami (FL),Virginia,Morehead St.,SMU,Troy,Minnesota,Western St. (CO),Washington St.,Minnesota,Wisconsin,Maryland,Nebraska,Fresno St.,Maryland,Texas-El Paso,Akron,NA,Mississippi St.,Sam Houston St.,Fresno St.,Missouri,Miami (OH),Wisconsin,Yale,Virginia Tech,Kansas St.,LSU,Auburn,Texas Tech,Arizona,Kentucky,LSU,South Carolina St.,Florida St.,Nebraska,Maryland,Wisconsin,Baylor,Michigan St.,Arizona St.,Georgia,Georgia,Hawaii,LSU,California,Alabama,Mississippi
NA,NA,NA,NA,NA,NA,NA,Missouri,Minnesota,Notre Dame,Dayton,Washington,Notre Dame,Oklahoma,Army,Washington St.,Indiana,Southern Miss,SMU,Vanderbilt,Missouri,Villanova,Syracuse,Stanford,Iowa,Purdue,Ohio,Southern Miss,Oregon St.,Illinois,West Virginia,Long Beach St.,San Francisco,Minnesota,Maryland,Black Hills St.,Ohio St.,Washington St.,Pacific,Arizona,West Virginia,Minnesota,Oregon,UNLV,Washington,UNLV,Clemson,Hawaii,Washington,Norfolk St.,Illinois,Nebraska,North Carolina,Arizona St.,Syracuse,Central Florida,South Carolina,NA,NA,Alabama,Florida,Florida St.,Texas Tech,Arkansas,Colorado,Western Oregon,Northern Illinois,Florida St.,LSU,Utah,North Carolina,Michigan St.,Northern Iowa,TCU,California,Georgia Tech,North Carolina St.,Ohio,North Carolina,East. Washington,Arizona St.,Notre Dame,California,North Carolina A&T,Michigan St.,Michigan,Mississippi,South Carolina,USC
NA,NA,NA,NA,NA,NA,NA,Occidental,Rochester,Cornell,Washington,Texas A&M-Commerce,Princeton,Nebraska,Denver,Boston Univ.,Duke,Illinois,Georgia Tech,California,UCLA,Minnesota,Bowling Green,Unknown,Army,Maryland,Wisconsin,Syracuse,LSU,Oregon St.,Alabama,San Jose St.,Missouri State,Southern,Texas A&M,Lebanon Valley,Arizona,Syracuse,Notre Dame,Rutgers,Middle Tenn. St.,Bishop,North Carolina St.,William Penn,Nebraska,The Citadel,Texas St.,Missouri,Colorado,Northwestern,Florida A&M,Michigan,Notre Dame,Ohio St.,Nebraska Wesleyan,East Carolina,Houston,NA,NA,Illinois,Kansas,Texas,Arizona St.,Virginia,New Mexico,Texas A&M,Miami (FL),Illinois,Syracuse,Indiana (PA),Texas,Baylor,San Diego St.,Penn St.,South Florida,Pittsburgh,Michigan,Illinois,Portland St.,Florida St.,Central Arkansas,East Central (OK),Arkansas,TCU,Colorado,Tennessee,Southern,Appalachian St.,Miami (FL)
NA,NA,NA,NA,NA,NA,NA,Arkansas,Oklahoma,Unknown,Northwestern,TCU,Muhlenberg,Illinois,Arkansas,Duquesne,Northern Illinois,Texas-El Paso,Temple,Baylor,Notre Dame,Virginia,Grambling St.,Miami (OH),Presbyterian,Navy,Georgia Tech,Concord,Iowa St.,Tennessee,Oregon,West Texas A&M,Tulsa,Indiana,Tennessee,Pittsburgh,Northwestern,Baylor,Oklahoma,Virginia Union,Minnesota,Georgia,Penn St.,Iowa,Temple,Notre Dame,West Texas A&M,Boston College,Texas A&M,Syracuse,Hawaii,Jacksonville St.,Auburn,Alcorn St.,Pittsburgh,USC,Florida St.,NA,NA,Texas A&M-Kingsville,Tennessee St.,Central State (OH),Georgia,Kansas St.,Miami (FL),Idaho,Miami (FL),Florida,Ohio St.,Grambling St.,Virginia Tech,Florida,Arkansas,Cincinnati,Pittsburgh,Colorado,Nevada,Chadron St.,Arkansas,Memphis,Vanderbilt,TCU,Ohio,James Madison,Tennessee St.,South Carolina,South Carolina,North Carolina,South Dakota
NA,NA,NA,NA,NA,NA,NA,Oregon St.,Villanova,Louisiana,Arkansas–Monticello,Duke,Washington,Kansas,Case Western Reserve,Arnold,Purdue,Colorado,Austin,Eastern Kentucky,McNeese St.,Marquette,Arizona,Mississippi,Marquette,Washington,Howard Payne,Tulane,Missouri,Louisville,Mississippi St.,Muskingum,Weber St.,Minnesota,Idaho St.,Miami (FL),Morningside,Texas A&M-Commerce,Colorado Mines,California,Baylor,Florida A&M,Utah St.,California,West Texas A&M,SMU,Miami (FL),San Jose St.,Illinois,North Carolina,Syracuse,Wake Forest,James Madison,Cal State-Fullerton,Texas A&M-Kingsville,Arkansas St.,Tulsa,NA,NA,Kansas,Jackson St.,Mississippi,Syracuse,Nebraska,Ohio St.,Ohio St.,Georgia Tech,Mississippi St.,Dartmouth,BYU,UCLA,Florida,Tulsa,Nebraska,Iowa St.,Stephen F. Austin,Ashland,Rutgers,Arkansas,Alabama,Syracuse,Florida,Oklahoma St.,Boston College,Syracuse,Oregon,Georgia Tech,UT Martin,Michigan St.
NA,NA,NA,NA,NA,NA,NA,Wisconsin,Arkansas,Washington St.,Santa Clara,Nevada,Nevada,Pacific,Notre Dame,Oklahoma,Wyoming,UCLA,Arkansas,Kansas St.,Eastern Kentucky,Tulsa,Murray St.,Arkansas,North Carolina A&T,North Carolina Central,Florida A&M,San Diego St.,Kansas St.,UCLA,Massachusetts,Nebraska,Tulsa,Oregon St.,Pittsburgh,Auburn,Drake,Minnesota,TCU,Stanford,Grambling St.,Arkansas St.,Howard,Ohio St.,Alcorn St.,Northern Illinois,Boston Univ.,Florida,Michigan St.,USC,Wake Forest,Alabama,California,Cal Poly-San Luis Obispo,West Virginia,North Dakota,Central Arkansas,NA,NA,Georgia Tech,Williams,Georgia,Florida St.,Arizona,NW Oklahoma St.,Ohio St.,Minnesota,South Carolina,Penn St.,Tulsa,Baylor,San Jose St.,Washburn,Oklahoma,New Mexico,Oklahoma,Kansas St.,Florida St.,Boston College,Notre Dame,Houston,Miami (FL),New Mexico,Arizona,North Carolina St.,Charleston (WV),Rutgers,USC,Pittsburgh
NA,NA,NA,NA,NA,NA,NA,Mississippi St.,Oklahoma,Unknown,Washington St.,Rice,Wichita St.,North Carolina,North Carolina,Auburn,Texas,San Jose St.,Wabash,Unknown,Vanderbilt,Butler,Unknown,Clemson,Stephen F. Austin,Utah,Oregon St.,McMurry,Colorado,Vanderbilt,Mississippi,Alabama,Clemson,Oregon,New Mex. Highlands,Central College (IA),Henderson St.,South Carolina,Johnson C. Smith,Illinois Wesleyan,Colorado,Boston College,Jackson St.,Notre Dame,Penn St.,Washington St.,Texas,Pittsburgh,Alabama St.,Texas,BYU,Cal State-Fullerton,West Chester,Nevada,Oklahoma,Southern Oregon,BYU,NA,NA,South Dakota St.,Stanford,Central Michigan,Arizona St.,Nebraska,Arizona St.,Wisconsin,UCLA,Wake Forest,Iowa,USC,Arizona,Notre Dame,Auburn,Maryland,East Carolina,South Carolina,Penn St.,Utah St.,Massachusetts,Missouri,Western Michigan,Louisville,Wisconsin,Prairie View A&M,Memphis,Pittsburgh,Tulsa,Mississippi,Wake Forest
NA,NA,NA,NA,NA,NA,NA,Oklahoma,Northwestern,Auburn,Tulsa,Kansas,Pacific,Oklahoma City,Kentucky,California,Illinois,Indiana,Pacific,Michigan,Pittsburgh,Illinois,UCLA,Ohio St.,Michigan St.,Pittsburgh,Tennessee,Chattanooga,Tampa,Georgia Tech,Rice,Tennessee,Central Michigan,Nebraska-Omaha,UCLA,Iowa St.,Weber St.,California,SMU,Unknown,Colorado,Indiana,Illinois,Delaware,Southeast Missouri St.,Rice,Kansas,Illinois,Holy Cross,Texas-El Paso,Colorado,Alabama,Montana,Syracuse,Oregon St.,Grambling St.,Hampton,NA,NA,Miami (FL),Sonoma St.,Tulane,Tennessee,Clemson,Texas St.,Northwestern,Virginia,Florida St.,Syracuse,Washington St.,LSU,Whitworth,St. Augustine's,Mississippi,West Virginia,Alabama A&M,Colorado,Harding,Stanford,Hawaii,UCLA,Alabama St.,TCU,Notre Dame,James Madison,Massachusetts,Clemson,Arizona St.,Florida St.
NA,NA,NA,NA,NA,NA,NA,Texas,Texas,USC,Denver,Cincinnati,Oklahoma St.,Michigan,Stanford,Purdue,Arkansas,Boston Univ.,SMU,Lawrence,Auburn,Notre Dame,Mississippi,Purdue,Panhandle State (OK),Nebraska,DePauw,Tulsa,Susquehanna,Utah St.,Texas-Arlington,Michigan St.,Boston College,Georgia Tech,Catawba,Iowa,Florida A&M,North Carolina Central,Montana St.,Richmond,Oregon,South Carolina,Amherst,North Dakota St.,Iowa,Baylor,Maryland,Rhode Island,Florida,Colgate,South Dakota,William & Mary,California,Texas A&M,Boston Univ.,Oklahoma St.,Arizona St.,NA,NA,Howard,Baylor,Wyoming,Colorado St.,Butte JC (CA),Georgia,Clemson,Southern Miss,Indiana,Central Florida,Arizona St.,Maryland,Wake Forest,LSU,Kent St.,Indiana,Texas Tech,Louisville,South Florida,Georgia St.,Newberry,Boston College,Kansas St.,California,Kentucky,Nebraska,Kentucky,Wisconsin,Kentucky,Texas A&M-Commerce
NA,NA,NA,NA,NA,NA,NA,Tulsa,Oklahoma,Georgia,Tulsa,California,Miami (OH),Unknown,SMU,Virginia,Colorado/Army,Wake Forest,Austin,Southern Miss,MD-Eastern Shore,North Carolina,Michigan St.,Mississippi,Oklahoma,Idaho St.,Fresno St.,Penn St.,Memphis,USC,Purdue,Kent St.,BYU,Ohio,Mississippi,Pacific,Wisconsin,Kansas,Colorado St.,Wesern Illinois,Oklahoma St.,Arkansas St.,Iowa,Notre Dame,Vanderbilt,Kentucky,Tennessee St.,Langston,Southern Miss,Arizona,West. Carolina,Tennessee,Memphis,Kentucky,Winston-Salem St.,Nevada,Kansas,NA,NA,Hampton,North Alabama,Memphis,Missouri,Notre Dame,Buffalo,Kentucky,Georgia,Texas A&M,Illinois,Utah,Auburn,Florida International,California,Oregon St.,Stanford,Arizona St.,Northwestern,Missouri Western St.,Utah,Northern Illinois,LSU,Georgia Tech,Unknown,Auburn,Stanford,Maryland,Lenoir-Rhyne,Louisiana,Louisiana
NA,NA,NA,NA,NA,NA,NA,Florida,UCLA,San Francisco,Cincinnati,Southern Miss,Mount Union,Tulsa,Louisville,Illinois,Villanova,Purdue,Bowling Green,Iowa,Georgia Tech,Heidelberg,Florida,Georgia Tech,Wichita St.,Mississippi St.,Marshall,Miami (FL),Detroit Mercy,Oregon St.,Notre Dame,Findlay,San Francisco St.,Catawba,Texas Tech,Arkansas,Oklahoma,USC,Cornell,North Dakota St.,University of Alberta,Georgia,Baylor,Duke,Arizona St.,Washington,Penn St.,Norfolk St.,Tulsa,Pacific,Troy,Ohio St.,Mississippi,Arkansas,Tulane,Arizona,Boise St.,NA,NA,Georgia,Colorado,Penn St.,Kentucky,Notre Dame,Georgia Tech,Arizona,Hampton,BYU,Nebraska,Texas Tech,Virginia Tech,Arizona,Texas A&M,Georgia Tech,William & Mary,Missouri,Nebraska,Miami (OH),Marist,Central Arkansas,LSU,Pittsburgh,North Carolina,Washington,Baylor,Tulane,Miami (FL),Oklahoma St.,Oklahoma
NA,NA,NA,NA,NA,NA,NA,Oregon,Boston College,Notre Dame,Denver,California,South Carolina,Notre Dame,Northwestern,Notre Dame,Missouri,Auburn,West Chester,Dayton,Jackson St.,North Carolina St.,Denver,Clemson,Wisconsin,Bakersfield JC,Baylor,Miami (OH),Western Michigan,Duke,Tennessee,Jackson St.,Miss. Valley St.,Montana,North Texas,Iowa,Morgan St.,Northern Colorado,Nebraska,Michigan St.,Northern Michigan,New Mexico,Unknown,Utah St.,Oklahoma,Nebraska,Long Beach St.,Notre Dame,Arkansas,San Diego St.,Penn St.,Maryland,North Carolina,Indiana,Syracuse,Missouri,Rutgers,NA,NA,UNLV,Kansas,Langston,Arkansas,Jamestown,Michigan,Chattanooga,North Carolina,Alabama,Ottawa (KS),Alabama,Oregon,Clemson,Georgia,California,Miami (FL),Montana,Northwestern,Rutgers,Illinois St.,LSU,Sam Houston St.,Auburn,Syracuse,Auburn,Ohio St.,Kansas St.,Montana St.,Central Michigan,Utah
NA,NA,NA,NA,NA,NA,NA,Alabama,Duke,SMU,Cornell,Wisconsin,Missouri,Texas A&M-Kingsville,Auburn,South Dakota St.,Virginia,TCU,Stanford,Bucknell,Baylor,Duke,Wake Forest,Elon,TCU,North Carolina Central,Washington St.,BYU,Notre Dame,Washington,San Francisco St.,Mississippi St.,Oregon St.,Emory & Henry,Stanford,Wisconsin–Oshkosh,Texas Tech,Tulane,Tulsa,Maryland,South Carolina,Florida St.,West Virginia,Winston-Salem St.,Texas-Arlington,Washington St.,Central Michigan,Notre Dame,Appalachian St.,South Carolina,USC,Iowa St.,Holy Cross,North Dakota,West Virginia,Illinois,Youngstown St.,NA,NA,North Carolina,Wyoming,Alabama,Washington,Langston,Colorado St.,Kentucky,Stephen F. Austin,Colorado,Kansas St.,Louisville,Florida,Hawaii,Buffalo,Maryland,Arizona St.,Long Beach CC,Georgia,Washington St.,Saginaw Valley St.,Wyoming,Washington,Villanova,Alabama,Hawaii,TCU,Texas Tech,Mississippi,Northern Michigan,Texas Tech
NA,NA,NA,NA,NA,NA,NA,Duquesne,California,Tulane,Dartmouth,TCU,New Hampshire,San Francisco,Baylor,Holy Cross,Murray St.,Iowa St.,Houston,Texas,Minnesota,South Carolina,Navy,Oklahoma,USC,Kentucky,Marquette,North Carolina Central,Northern Michigan,Clemson,Arkansas,Oklahoma,Southern,Miss. Valley St.,Tampa,North Carolina Central,Colorado,North Carolina Central,Santa Clara,West Virginia,Massachusetts,Oklahoma St.,Alcorn St.,Angelo St.,California Lutheran,Southeastern Louisiana,Bethune-Cookman,Michigan,Sioux Falls,SW Missouri St.,Sacramento St.,Syracuse,Florida St.,West Virginia,Mississippi,California,Pittsburg St.,NA,NA,Concordia (QB),Indiana St.,Sacramento St.,Cincinnati,LSU,Mississippi St.,Texas Tech,Virginia,Temple,Iowa,Eastern Michigan,Auburn,Illinois,Michigan,Miami (OH),Rutgers,Connecticut,Virginia,South Florida,Miami (FL),Boston College,California,Virginia Tech,San Diego St.,Georgia,Tulane,LSU,Arizona St.,Georgia,Miami (FL)
